Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
41,Pacôme Dadiet,SG,19,NYK,2,0,2,0.5,0.5,1,0,0,,0.5,0.5,1,1,0,0,,0,0,0,0,0,0,0,0,1
42,JD Davison,PG,22,BOS,4,0,3.3,0.3,2,0.125,0.3,0.5,0.5,0,1.5,0,0.188,0.3,0.5,0.5,0.3,0.5,0.8,0.8,0,0,0.3,0,1
43,Ousmane Dieng,C,21,OKC,9,0,3.6,0.4,1.1,0.4,0.4,0.8,0.571,0,0.3,0,0.6,0.2,0.2,1,0,0.4,0.4,0.3,0,0.1,0,0,1.6
44,Rob Dillingham,PG,20,MIN,3,0,5.3,1,2.7,0.375,0.3,0.7,0.5,0.7,2,0.333,0.438,0.3,0.7,0.5,0,0.7,0.7,2.3,0,0,0,0.3,2.7
45,Donte DiVincenzo,SG,28,MIN,15,0,25.1,3.1,8.4,0.365,1.9,5.9,0.318,1.2,2.5,0.474,0.476,0.7,0.9,0.769,0.8,2.3,3.1,3.3,1.4,0.3,1.9,3,8.7
46,Luka Dončić,PG,25,LAL,5,5,41.6,9.4,20.8,0.452,3.2,9.2,0.348,6.2,11.6,0.534,0.529,8.2,9.2,0.891,0.4,6.6,7,5.8,1,0.6,4,3.2,30.2
47,Luguentz Dort,SF,25,OKC,23,23,29,2.6,7.1,0.366,2.1,6.1,0.343,0.5,1,0.5,0.512,0.6,1,0.636,1.4,2.5,3.9,0.9,1.3,0.4,0.9,3.3,7.9
48,Kris Dunn,PG,30,LAC,7,6,21.9,2.4,6.3,0.386,1.4,4,0.357,1,2.3,0.438,0.5,0,0,,1.4,2,3.4,1.3,1.1,0.6,0.1,2.6,6.3
49,Jalen Duren,C,21,DET,6,6,33.8,4.3,6.7,0.65,0,0,,4.3,6.7,0.65,0.65,3.2,3.8,0.826,4.3,6.3,10.7,3.5,0.3,1.7,1.7,4.3,11.8
50,Tari Eason,PF,23,HOU,7,0,18.9,3,6.3,0.477,1,2.7,0.368,2,3.6,0.56,0.557,0.6,1.1,0.5,1,3.3,4.3,0.7,1.1,1,1.4,1.9,7.6
51,Zach Edey,C,22,MEM,4,4,27,2.5,3.8,0.667,0,0,,2.5,3.8,0.667,0.667,1.3,1.8,0.714,2.8,5,7.8,1.8,0,2.5,1.5,3,6.3
52,Anthony Edwards,SG,23,MIN,15,15,39,9,19.9,0.453,3.1,8.7,0.354,5.9,11.2,0.53,0.53,4.3,5.9,0.719,1.2,6.6,7.8,5.5,1.1,0.7,2.6,2.1,25.3
53,Drew Eubanks,C,27,LAC,3,0,4.3,0,0.7,0,0,0,,0,0.7,0,0,1.3,2,0.667,0,0.3,0.3,0,0,0,0,0.7,1.3
54,Dorian Finney-Smith,PF,31,LAL,5,1,34,2.4,5.8,0.414,1.4,3.8,0.368,1,2,0.5,0.534,0,0,,2,2.2,4.2,2.6,0.2,0.4,1,3.4,6.2
55,Johnny Furphy,SG,20,IND,11,0,3.2,0.1,0.4,0.25,0,0.2,0,0.1,0.2,0.5,0.25,0,0.1,0,0.1,0.5,0.5,0.1,0,0.1,0.1,0.5,0.2
56,Darius Garland,PG,25,CLE,5,5,29.6,5.8,13.8,0.42,2,7,0.286,3.8,6.8,0.559,0.493,4.4,4.8,0.917,0.2,2,2.2,5.2,0.4,0,3,3.4,18
57,Luka Garza,C,26,MIN,5,0,3.8,1.2,1.2,1,0.2,0.2,1,1,1,1,1.083,0,0,,0.6,0,0.6,0,0,0,0,0.2,2.6
58,Shai Gilgeous-Alexander,PG,26,OKC,23,23,37,10.1,21.9,0.462,1.4,4.9,0.283,8.7,17,0.514,0.494,8.3,9.4,0.876,1,4.3,5.3,6.5,1.7,0.9,2.6,2.8,29.9
59,Rudy Gobert,C,32,MIN,15,15,27.4,3.1,5.3,0.582,0,0,,3.1,5.3,0.582,0.582,1.7,3.3,0.52,3.1,5.5,8.6,0.7,0.5,1.2,0.9,2.5,7.9
60,Jordan Goodwin,PG,26,LAL,4,0,7.8,0.3,1.3,0.2,0,0.5,0,0.3,0.8,0.333,0.2,0.3,0.5,0.5,0.5,0.8,1.3,0.5,0.3,0.3,0.3,1.8,0.8
61,Aaron Gordon,PF,29,DEN,14,14,37.3,5.8,11.9,0.485,1.6,4.1,0.379,4.2,7.8,0.541,0.551,3.1,3.6,0.86,3.6,4,7.6,2.7,0.6,0.4,1.9,2.4,16.2
62,A.J. Green,SG,25,MIL,5,1,27,3.6,7.8,0.462,3.6,7,0.514,0,0.8,0,0.692,0.2,0.4,0.5,0.4,2.4,2.8,2,0,0.2,0,2.6,11
63,Draymond Green,PF,34,GSW,12,12,32.4,3.5,9,0.389,1.3,5,0.267,2.2,4,0.542,0.463,0.8,1.1,0.692,0.8,4.8,5.5,3.8,1.4,0.9,3,3.7,9.1
64,Jalen Green,SG,22,HOU,7,7,31.3,4.6,12.3,0.372,1.9,6.3,0.295,2.7,6,0.452,0.448,2.3,3.4,0.667,0.4,5,5.4,2.9,0.6,0.3,1.4,0.9,13.3
65,Javonte Green,SG,31,CLE,6,0,6.5,0.7,1.7,0.4,0.2,0.8,0.2,0.5,0.8,0.6,0.45,1,1,1,0.2,1.3,1.5,0.3,0.7,0,0.3,0.3,2.5
66,Jeff Green,PF,38,HOU,3,0,1.7,0.3,1,0.333,0.3,0.3,1,0,0.7,0,0.5,0,0,,0.3,0,0.3,0,0,0,0,0,1
67,Rui Hachimura,PF,26,LAL,5,5,36.4,5.6,11.4,0.491,3,6.2,0.484,2.6,5.2,0.5,0.623,0.6,0.6,1,0.8,3.8,4.6,1,0.6,0.6,1.4,2.4,14.8
68,Tyrese Haliburton,PG,24,IND,23,23,33.6,6.3,13.7,0.463,2.3,6.9,0.34,4,6.8,0.59,0.549,2.3,2.8,0.828,0.3,5,5.3,8.6,1.3,0.7,2.3,1.7,17.3
69,Tim Hardaway Jr.,SG,32,DET,6,6,31.3,4,11.8,0.338,2.7,8.7,0.308,1.3,3.2,0.421,0.451,1.3,1.7,0.8,0.3,2.5,2.8,1.2,0.3,0,1.5,1.7,12
70,James Harden,PG,35,LAC,7,7,39.4,6.3,14.4,0.436,2.3,6.3,0.364,4,8.1,0.491,0.515,3.9,4.7,0.818,0.6,4.9,5.4,9.1,1.3,1,3,2.3,18.7
71,Gary Harris,SG,30,ORL,5,0,16.6,0.6,1.6,0.375,0.2,1.2,0.167,0.4,0.4,1,0.438,0,0,,0.2,0.8,1,0.6,0.6,0.2,0,1.4,1.4
72,Tobias Harris,PF,32,DET,6,6,38.8,5.7,11.8,0.479,1.7,3.8,0.435,4,8,0.5,0.549,2.7,2.7,1,1.3,6.3,7.7,0.5,1,1.2,1,2.7,15.7
73,Josh Hart,SG,29,NYK,18,14,35.7,3.8,8,0.472,1.1,3,0.37,2.7,5,0.533,0.542,2.9,3.7,0.776,2.4,6.3,8.8,4.4,1.1,0.6,1.9,3.4,11.6
74,Isaiah Hartenstein,C,26,OKC,23,20,22.4,3.6,5.8,0.619,0,0,,3.6,5.8,0.619,0.619,0.9,1.3,0.667,2.7,4.8,7.5,2.2,0.8,0.5,1.2,2.5,8.1
75,Sam Hauser,PF,27,BOS,8,0,13.5,1.3,3,0.417,0.9,2.6,0.333,0.4,0.4,1,0.563,0.1,0.1,1,0,1.5,1.5,0.5,0.1,0.1,0.4,1.4,3.5
76,Jaxson Hayes,C,24,LAL,4,4,7.8,0.8,2,0.375,0,0,,0.8,2,0.375,0.375,0.3,0.5,0.5,1.3,0.8,2,0.3,0,0.3,0.3,2,1.8
77,Tyler Herro,SG,25,MIA,4,4,36,6.8,16.3,0.415,2.3,7.3,0.31,4.5,9,0.5,0.485,2,2.5,0.8,0,3.5,3.5,2.8,0.5,0,2.3,3,17.8
78,Buddy Hield,SG,32,GSW,12,9,27.3,4.3,10.4,0.416,2.8,6.4,0.429,1.6,4,0.396,0.548,1.1,1.2,0.929,1.5,2,3.5,1.8,1.2,0.4,1.1,2,12.5
79,Haywood Highsmith,SF,28,MIA,4,0,21,2.8,4.8,0.579,1.8,3.8,0.467,1,1,1,0.763,0,0,,1,2.3,3.3,1,0.8,0.5,1,2.8,7.3
80,Aaron Holiday,PG,28,HOU,3,0,9,1.3,3.3,0.4,0.7,1.7,0.4,0.7,1.7,0.4,0.5,0.7,1.3,0.5,0.3,0.3,0.7,1,0,0,0.3,1,4
81,Jrue Holiday,PG,34,BOS,8,8,33,3.6,7.5,0.483,1.1,3.3,0.346,2.5,4.3,0.588,0.558,1.1,1.6,0.692,1.5,2.6,4.1,4,0.9,0.1,2,3.1,9.5
82,Ron Holland,SF,19,DET,5,0,6.8,0,1,0,0,0.6,0,0,0.4,0,0,1.8,2,0.9,0.6,0.6,1.2,0,0,0.2,1.2,1,1.8
83,Chet Holmgren,C,22,OKC,23,23,29.8,5.3,11.6,0.462,1.2,4,0.297,4.2,7.6,0.549,0.513,3.3,4.2,0.784,1.8,6.8,8.7,1,0.7,1.9,1.2,2,15.2
84,Al Horford,C,38,BOS,11,9,31.6,3.1,6.5,0.472,1.3,3.2,0.4,1.8,3.4,0.541,0.569,0.5,0.6,0.857,1.6,4.4,6,1.8,0.6,1.3,0.6,2.7,8
85,Caleb Houstan,SF,22,ORL,5,0,9.4,0.4,2.8,0.143,0.4,2,0.2,0,0.8,0,0.214,0,0,,0.4,0.4,0.8,0.2,0,0.2,0.4,0.6,1.2
86,Jett Howard,SF,21,ORL,1,0,4,2,2,1,2,2,1,0,0,,1.5,0,0,,0,0,0,0,0,0,0,1,6
87,Jay Huff,C,26,MEM,2,0,9,1,2,0.5,0,0.5,0,1,1.5,0.667,0.5,2,2,1,0.5,1,1.5,0.5,0,1.5,0.5,0.5,4
88,Ariel Hukporti,C,22,NYK,3,0,1.7,0.7,0.7,1,0,0,,0.7,0.7,1,1,0,0.7,0,0,0.7,0.7,0,0,0,0,0,1.3
89,De'Andre Hunter,SF,27,CLE,8,0,23.1,3.4,7.9,0.429,1.5,3.3,0.462,1.9,4.6,0.405,0.524,2.8,3.3,0.846,0.8,2.9,3.6,1,0.5,0.1,0.9,2.1,11
90,Jonathan Isaac,PF,27,ORL,5,0,13.8,1.4,2.4,0.583,0.2,0.8,0.25,1.2,1.6,0.75,0.625,0.6,1,0.6,1,1,2,0.4,0.4,0.2,0.4,0.6,3.6
91,Andre Jackson Jr.,SG,23,MIL,2,0,2.5,0,0.5,0,0,0.5,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0
92,Jaren Jackson Jr.,C,25,MEM,4,4,34.3,5.5,14.5,0.379,0.8,2.8,0.273,4.8,11.8,0.404,0.405,4.3,5,0.85,2.3,2.8,5,1.5,1,0.5,2.8,3.5,16
93,Trayce Jackson-Davis,C,24,GSW,9,3,8.9,1.8,2,0.889,0,0,,1.8,2,0.889,0.889,0.6,1.4,0.385,1,1.3,2.3,0.2,0.3,0.2,0.1,1.7,4.1
94,Bronny James,SG,20,LAL,2,0,2,0,1,0,0,1,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0
95,LeBron James,SF,40,LAL,5,5,40.8,8.6,17.6,0.489,2,5.6,0.357,6.6,12,0.55,0.545,6.2,8,0.775,2.4,6.6,9,5.6,2,1.8,2.6,1.6,25.4
96,Jaime Jaquez Jr.,SF,23,MIA,3,0,6.3,0.3,2,0.167,0,0.7,0,0.3,1.3,0.25,0.167,0.7,0.7,1,1,0.3,1.3,0.3,0,0,0.3,0.3,1.3
97,Ty Jerome,SG,27,CLE,9,1,21.2,4.1,10.2,0.402,1.6,4,0.389,2.6,6.2,0.411,0.478,1.9,2.2,0.85,0.6,1.9,2.4,3.6,0.6,0.1,1.2,1.8,11.7
98,Isaiah Joe,SG,25,OKC,21,0,10,1.7,3.5,0.493,1.1,2.7,0.411,0.6,0.8,0.765,0.651,0.6,0.7,0.857,0.3,1,1.4,0.7,0.3,0.1,0.3,0.6,5.1
99,James Johnson,PF,37,IND,5,0,3.6,0.6,1,0.6,0,0.2,0,0.6,0.8,0.75,0.6,0.2,0.4,0.5,0,0.2,0.2,0.4,0.4,0.4,0.2,0.6,1.4
100,Keshad Johnson,SF,23,MIA,2,0,4,0.5,0.5,1,0,0,,0.5,0.5,1,1,0,0,,0.5,0,0.5,0,0,0,0.5,0.5,1
101,Nikola Jokić,C,29,DEN,14,14,40.2,9.4,19.1,0.489,1.9,5.1,0.38,7.4,14.1,0.528,0.539,5.6,7.2,0.772,2.1,10.6,12.7,8,2,0.9,3.9,3.4,26.2
102,Derrick Jones Jr.,SF,27,LAC,7,1,18.4,3,6.9,0.438,0.9,2.9,0.3,2.1,4,0.536,0.5,0.4,1.1,0.375,0.7,1.1,1.9,0.3,0.6,1.3,0.4,0.4,7.3
103,Dillon Jones,SF,23,OKC,10,0,4.6,0.9,1.1,0.818,0.3,0.4,0.75,0.6,0.7,0.857,0.955,0.2,0.2,1,0.3,0.6,0.9,0.5,0.1,0.1,0.6,0.4,2.3
104,DeAndre Jordan,C,36,DEN,7,0,5.1,0.4,0.4,1,0,0,,0.4,0.4,1,1,0,0.6,0,0.1,1.1,1.3,0.3,0,0.1,0.3,1.3,0.9
105,Cory Joseph,PG,33,ORL,5,5,24.8,2,4.8,0.417,1,3.2,0.313,1,1.6,0.625,0.521,0,0,,0.2,1.6,1.8,3,1,0.4,0.4,2,5
106,Nikola Jović,PF,21,MIA,4,0,18.8,3.3,8.8,0.371,1.5,6,0.25,1.8,2.8,0.636,0.457,1.5,1.5,1,1,3,4,1.5,0.8,0.3,1.3,0.5,9.5
107,Luke Kennard,SG,28,MEM,4,0,20,2,4.5,0.444,0.5,2.3,0.222,1.5,2.3,0.667,0.5,0,0,,0.5,3,3.5,2,1,0.3,1.5,0.8,4.5
108,Braxton Key,SF,27,GSW,5,0,4.6,0.2,1.6,0.125,0,0.2,0,0.2,1.4,0.143,0.125,0,0,,1,0.8,1.8,0.2,0.4,0.4,0.6,0.8,0.4
109,Maxi Kleber,PF,33,LAL,1,0,5,0,1,0,0,1,0,0,0,,0,2,2,1,0,0,0,0,0,0,1,1,2
110,Dalton Knecht,SF,23,LAL,2,0,2,1,2.5,0.4,0.5,2,0.25,0.5,0.5,1,0.5,0,0,,1,0.5,1.5,0,0,0,0,0,2.5
111,Kevin Knox,SF,25,GSW,5,0,7.6,1.6,4,0.4,0.2,1.2,0.167,1.4,2.8,0.5,0.425,0.8,1,0.8,0.6,0.8,1.4,0.8,0,0.2,0.4,0.4,4.2
112,Tyler Kolek,PG,23,NYK,3,0,2,0.3,0.3,1,0.3,0.3,1,0,0,,1.5,0,0,,0,0.3,0.3,1,0,0,0,0,1
113,John Konchar,SG,28,MEM,4,0,17.3,0.8,2.3,0.333,0.3,1.5,0.167,0.5,0.8,0.667,0.389,1,1,1,0.8,2.5,3.3,1.5,0.5,0.5,0.5,2,2.8
114,Luke Kornet,C,29,BOS,11,1,16.4,1.9,2.6,0.724,0,0,,1.9,2.6,0.724,0.724,0.7,0.7,1,1.5,2.5,3.9,0.5,0.5,1.2,0.5,1.8,4.5
115,Jonathan Kuminga,PF,22,GSW,8,1,23.4,5.6,11.6,0.484,1.3,3.1,0.4,4.4,8.5,0.515,0.538,2.8,3.9,0.71,0.9,1.6,2.5,1.3,0.5,0.5,1.6,1.6,15.3
116,Kyle Kuzma,PF,29,MIL,5,4,20.4,2.4,7,0.343,0.4,2,0.2,2,5,0.4,0.371,0.6,1.2,0.5,0.6,1.6,2.2,0.8,0,0.2,0.6,2.4,5.8
117,Jock Landale,C,29,HOU,1,0,5,1,2,0.5,0,0,,1,2,0.5,0.5,0,0,,0,0,0,0,0,0,0,0,2
118,Pelle Larsson,SG,23,MIA,4,0,13,2,3.8,0.533,0.8,2,0.375,1.3,1.8,0.714,0.633,0.3,0.8,0.333,0.5,1.8,2.3,1,0.3,0,0.5,1.5,5
119,Alex Len,C,31,LAL,2,0,2,0,0.5,0,0,0,,0,0.5,0,0,0,0,,1.5,0.5,2,0,0,0,0,0,0
120,Kawhi Leonard,SF,33,LAC,7,7,37.9,9.4,17.6,0.537,2.1,5.3,0.405,7.3,12.3,0.593,0.598,4,5.1,0.778,1.6,6,7.6,4.7,1.1,0.7,2.1,1.7,25
121,Damian Lillard,PG,34,MIL,3,3,25,2,9,0.222,1,5.3,0.188,1,3.7,0.273,0.278,2,2.3,0.857,0.3,2.3,2.7,4.7,0.7,0.7,1,2.7,7
122,Chris Livingston,SF,21,MIL,2,0,2.5,0,0.5,0,0,0.5,0,0,0,,0,0,0,,0,0.5,0.5,0,0,0,0,0,0
123,Kevon Looney,C,28,GSW,12,0,10,0.8,1.9,0.435,0,0,,0.8,1.9,0.435,0.435,0.5,0.7,0.75,1.4,2.2,3.6,0.3,0.4,0.3,0.2,2.3,2.2
124,Brook Lopez,C,36,MIL,5,4,14.8,1.6,4.4,0.364,0.8,3,0.267,0.8,1.4,0.571,0.455,1,1,1,0.6,1,1.6,0.8,0.2,1,0.8,2.2,5
125,Bennedict Mathurin,SF,22,IND,22,0,17.5,3.1,6.7,0.459,0.8,2.7,0.3,2.3,4,0.568,0.52,4,4.7,0.864,1.2,2.1,3.3,0.9,0.4,0.3,1.2,1.9,11
126,Miles McBride,SG,24,NYK,18,0,18.9,1.9,5,0.378,1.2,3.3,0.373,0.7,1.7,0.387,0.5,0.8,0.9,0.824,0.2,1,1.2,1,0.4,0.1,0.6,1.2,5.8
127,T.J. McConnell,PG,32,IND,23,0,17.5,4.1,7.6,0.537,0.3,0.8,0.421,3.7,6.8,0.551,0.56,1,1.2,0.815,0.5,2.7,3.3,4,0.9,0.1,1.9,1.1,9.5
128,Jaden McDaniels,PF,24,MIN,15,15,33.1,5.8,11.3,0.515,1.4,3.7,0.382,4.4,7.6,0.579,0.577,1.7,1.9,0.893,1.8,3.8,5.6,1.5,1.3,0.9,1.2,3.3,14.7
129,Sam Merrill,SG,28,CLE,8,3,19.9,1.9,5,0.375,1.8,4.9,0.359,0.1,0.1,1,0.55,0.3,0.4,0.667,0.9,1.6,2.5,1.8,0.5,0.3,0.3,2.3,5.8
130,Jordan Miller,SF,25,LAC,3,0,4.3,1,2.3,0.429,0,0.3,0,1,2,0.5,0.429,0.3,0.7,0.5,0,0.7,0.7,1.3,1,0,0,0,2.3
131,Leonard Miller,SF,21,MIN,3,0,4.3,2,2.7,0.75,0.3,0.3,1,1.7,2.3,0.714,0.813,0,0,,1,0.7,1.7,0,0,0,0.3,0,4.3
