Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
157,Quinten Post,PF,24,GSW,12,2,12.2,1.3,4,0.333,0.8,2.7,0.313,0.5,1.3,0.375,0.438,0.3,0.3,0.75,0.5,1.8,2.3,1,0.3,0.3,0.5,1.7,3.8
158,Norman Powell,SG,31,LAC,7,7,34,6,12.7,0.472,2,5.7,0.35,4,7,0.571,0.551,2,2.6,0.778,0.1,2.3,2.4,2.4,1.1,0.3,1.7,2.1,16
159,Taurean Prince,SF,30,MIL,5,2,12.2,0.4,2,0.2,0.4,1.8,0.222,0,0.2,0,0.3,0,0,,0,1,1,1.6,0.4,0.2,1,0.6,1.2
160,Payton Pritchard,PG,27,BOS,11,0,27.5,4.1,9,0.455,2.5,6.1,0.403,1.6,2.9,0.563,0.591,1.3,1.5,0.824,0.8,1.5,2.3,1.5,0.5,0,0.8,1.7,11.9
161,Neemias Queta,C,25,BOS,4,0,3.3,1.3,1.5,0.833,0,0,,1.3,1.5,0.833,0.833,0,0,,0.5,0,0.5,0.5,0.3,0,0,0.5,2.5
162,Julius Randle,PF,30,MIN,15,15,35.5,7.7,15.3,0.502,2,5.2,0.385,5.7,10.1,0.563,0.568,4.4,5,0.88,1.8,4.1,5.9,4.9,0.8,0.1,3.3,3,21.7
163,Austin Reaves,SG,26,LAL,5,5,39.2,6,14.6,0.411,3,9.4,0.319,3,5.2,0.577,0.514,1.2,1.4,0.857,0.8,4.6,5.4,3.6,0.2,0.6,2.8,3.6,16.2
164,Paul Reed,C,25,DET,5,0,10.6,1,1.6,0.625,0,0,,1,1.6,0.625,0.625,0.8,1.2,0.667,1.4,1.6,3,0.2,1,0.6,1,1.6,2.8
165,Naz Reid,C,25,MIN,15,0,25,3.7,7.3,0.509,1.7,4.2,0.397,2.1,3.1,0.66,0.623,1.3,1.7,0.76,1.1,3.7,4.7,1.7,0.7,0.9,1.9,2.9,10.4
166,Duncan Robinson,SF,30,MIA,4,0,14.8,1.3,3.5,0.357,1,3,0.333,0.3,0.5,0.5,0.5,0.8,1,0.75,0,1,1,0.3,0,0,1.5,1.5,4.3
167,Mitchell Robinson,C,26,NYK,18,4,20.6,1.7,2.8,0.608,0,0,,1.7,2.8,0.608,0.608,1.2,3.1,0.393,3.7,3.3,7.1,0.4,0.9,0.8,0.7,2.1,4.7
168,Ryan Rollins,PG,22,MIL,3,1,10,1.3,4.3,0.308,0.7,2.3,0.286,0.7,2,0.333,0.385,0,0,,0.3,0.3,0.7,1.3,0.3,0,0,1.3,3.3
169,Gui Santos,PF,22,GSW,10,0,7.2,0.9,1.7,0.529,0.4,1,0.4,0.5,0.7,0.714,0.647,0.4,0.6,0.667,0.3,0.9,1.2,0.8,0.3,0.1,0.6,1,2.6
170,Baylor Scheierman,SG,24,BOS,4,0,5.5,0.8,2.5,0.3,0.5,1.3,0.4,0.3,1.3,0.2,0.4,0,0,,0.3,0.8,1,0,0,0,0.3,0.5,2
171,Dennis Schröder,PG,31,DET,6,0,27.3,4.3,8.8,0.491,1.7,3.5,0.476,2.7,5.3,0.5,0.585,2.2,2.7,0.813,0.7,1.7,2.3,3.7,1.2,0.2,1.2,2,12.5
172,Alperen Şengün,C,22,HOU,7,7,36.6,8.4,18.7,0.45,0.4,1.1,0.375,8,17.6,0.455,0.462,3.6,5.7,0.625,3,8.9,11.9,5.3,1.9,0.4,2.1,3.7,20.9
173,Landry Shamet,SG,27,NYK,11,0,7.5,0.8,1.8,0.45,0.6,1.4,0.467,0.2,0.5,0.4,0.625,0.1,0.4,0.25,0,0.4,0.4,0.7,0.1,0,0.4,0.5,2.4
174,Terrence Shannon Jr.,SG,24,MIN,9,0,6.3,1.4,3,0.481,0.3,0.9,0.375,1.1,2.1,0.526,0.537,1.3,1.3,1,0.1,1,1.1,0.3,0.4,0,0.3,1,4.6
175,Ben Sheppard,SG,23,IND,21,0,14,1.1,2.4,0.471,0.7,1.8,0.395,0.4,0.6,0.692,0.618,0.2,0.2,1,0.4,1.5,1.9,0.4,0.4,0,0.5,1.8,3.2
176,Reed Sheppard,PG,20,HOU,3,0,3.3,0,0.7,0,0,0.7,0,0,0,,0,0,0,,0,0.3,0.3,0.3,0.7,0.3,0.3,0.3,0
177,Pascal Siakam,PF,30,IND,23,23,33.5,7.6,14.8,0.513,1.5,3.6,0.427,6.1,11.3,0.541,0.565,3.8,5.3,0.713,1.3,5,6.3,3.4,1.2,0.7,1.3,2.9,20.5
178,Ben Simmons,PG,28,LAC,5,0,8.4,0.4,1.2,0.333,0,0,,0.4,1.2,0.333,0.333,0,0,,0.6,0.8,1.4,0.8,0.2,0.8,0.4,2.2,0.8
